name,email,date_of_birth,mobile_no,reject_reason
William Dixon,William_Dixon@woodward-fuller.biz,1986/01/10,40601711,Invalid email address.
Kristen Horn,Kristen_Horn@lin.com,1974-09-10,737931,Invalid mobile number.
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,02/27/1974,2692047,Invalid mobile number.; Invalid email address.
Mary Ball,Mary_Ball@stevens.biz,02/05/1968,886359,Invalid mobile number.; Invalid email address.
Benjamin Craig,Benjamin_Craig@berry.net,12/11/1988,696429,Invalid mobile number.
Cathy Werner,Cathy_Werner@martinez.net,2018-09-25,7138041,Applicant is under 18 years old.; Invalid mobile number.
Brandon Bell,Brandon_Bell@johnson-burgess.com,1961-10-27,768543,Invalid mobile number.
Paul Farley,Paul_Farley@payne-taylor.com,1980-11-22,8196105,Invalid mobile number.
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,2017/04/26,12556,Applicant is under 18 years old.; Invalid mobile number.
Caroline Anderson,Caroline_Anderson@blair-phillips.com,02/27/1988,5818212,Invalid mobile number.
Carl Jones,Carl_Jones@coleman.com,06/21/1993,220035,Invalid mobile number.
Scott Lee,Scott_Lee@phillips.com,2010-07-12,52145751,Applicant is under 18 years old.
Kaylee Coleman,Kaylee_Coleman@hammond.com,10/08/2009,156657,Applicant is under 18 years old.; Invalid mobile number.
Charles Parker,Charles_Parker@morris-keller.com,12/20/1980,92921,Invalid mobile number.
Susan Hess,Susan_Hess@sharp-hodges.net,1950-05-21,46541,Invalid mobile number.
Kiara Collier,Kiara_Collier@chandler.biz,1959-05-21,955551,Invalid mobile number.; Invalid email address.
Mr. Scott Martinez,Scott_Martinez@goodwin.com,02/16/1992,369441,Invalid mobile number.
Christopher Ortega,Christopher_Ortega@perez.biz,1959-06-18,9968155,Invalid mobile number.; Invalid email address.
Michael Russell,Michael_Russell@nunez-wright.com,2013/01/20,6400283,Applicant is under 18 years old.; Invalid mobile number.
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,2006/11/10,115935,Applicant is under 18 years old.; Invalid mobile number.
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,25-04-1975,143073,Invalid mobile number.; Invalid email address.
Douglas Francis,Douglas_Francis@king-cross.org,21-12-1992,1535885,Invalid mobile number.; Invalid email address.
Vicki Diaz,Vicki_Diaz@macdonald-day.com,1993/10/05,165459,Invalid mobile number.
Robin Phillips,Robin_Phillips@krause.net,1974-07-15,69531,Invalid mobile number.
Travis Rice,Travis_Rice@bradley.net,05/08/2006,3631 6303,Applicant is under 18 years old.; Invalid mobile number.
Ashley Rocha,Ashley_Rocha@hicks.info,1956/09/11,7046565,Invalid mobile number.; Invalid email address.
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,03/09/1958,6107 1779,Invalid mobile number.; Invalid email address.
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,1984/05/17,51323743,Invalid email address.
Joseph Torres,Joseph_Torres@johnson.com,1955/05/05,34376,Invalid mobile number.
Kim Jones,Kim_Jones@little.net,02-11-1985,34401,Invalid mobile number.
Melissa Tanner,Melissa_Tanner@johnson.net,04/30/1989,70391,Invalid mobile number.
Sonya Foster,Sonya_Foster@garcia-browning.com,10-09-1988,143877,Invalid mobile number.
Mr. Thomas Rivera,Thomas_Rivera@guzman-avila.com,1951/07/15,843813,Invalid mobile number.
Jamie Silva,Jamie_Silva@hill.com,2006/06/21,469791,Applicant is under 18 years old.; Invalid mobile number.
